"AvgDownloadspeed","MinDownloadspeed","MaxDownloadspeed","Postcode","ShortPostcode","Town/City","County"
69,9.1,200,"BS10 6BX","BS10 6","BRISTOL","CITY OF BRISTOL"
57.7,2.4,200,"BS10 6BZ","BS10 6","BRISTOL","CITY OF BRISTOL"
77.6,12.1,200,"BS10 6DG","BS10 6","BRISTOL","CITY OF BRISTOL"
74.3,9.1,200,"BS10 6DH","BS10 6","BRISTOL","CITY OF BRISTOL"
74.7,3.3,200,"BS10 6DJ","BS10 6","BRISTOL","CITY OF BRISTOL"
88.1,27.4,200,"BS10 6DN","BS10 6","BRISTOL","CITY OF BRISTOL"
103.2,10.7,200,"BS10 6DP","BS10 6","BRISTOL","CITY OF BRISTOL"
48.8,0.5,106.3,"BS10 6DX","BS10 6","BRISTOL","CITY OF BRISTOL"
78.9,11.4,200,"BS10 6DZ","BS10 6","BRISTOL","CITY OF BRISTOL"
46.7,12.6,106.3,"BS10 6EB","BS10 6","BRISTOL","CITY OF BRISTOL"
78.9,10.6,200,"BS10 6ED","BS10 6","BRISTOL","CITY OF BRISTOL"
70.6,2.1,300,"BS10 6EE","BS10 6","BRISTOL","CITY OF BRISTOL"
69.3,5.1,200,"BS10 6EF","BS10 6","BRISTOL","CITY OF BRISTOL"
67.1,10.2,200,"BS10 6EG","BS10 6","BRISTOL","CITY OF BRISTOL"
62.6,8,200,"BS10 6EH","BS10 6","BRISTOL","CITY OF BRISTOL"
118.5,0.5,200,"BS10 6EJ","BS10 6","BRISTOL","CITY OF BRISTOL"
75.8,9.7,200,"BS10 6EL","BS10 6","BRISTOL","CITY OF BRISTOL"
103.2,11.5,200,"BS10 6EP","BS10 6","BRISTOL","CITY OF BRISTOL"
74.4,10.2,200,"BS10 6EQ","BS10 6","BRISTOL","CITY OF BRISTOL"
59.2,0.2,200,"BS10 6ER","BS10 6","BRISTOL","CITY OF BRISTOL"
103.4,10.5,200,"BS10 6ES","BS10 6","BRISTOL","CITY OF BRISTOL"
111.4,40,200,"BS10 6ET","BS10 6","BRISTOL","CITY OF BRISTOL"
50.6,5,200,"BS10 6EW","BS10 6","BRISTOL","CITY OF BRISTOL"
77.9,10.1,200,"BS10 6FB","BS10 6","BRISTOL","CITY OF BRISTOL"
96,6,200,"BS10 6FD","BS10 6","BRISTOL","CITY OF BRISTOL"
78.7,0.3,200,"BS10 6HA","BS10 6","BRISTOL","CITY OF BRISTOL"
79,13.3,200,"BS10 6HB","BS10 6","BRISTOL","CITY OF BRISTOL"
